B100000747	BEZ_AGHAOSW_7_C8FJUACXX.IND4
B100000832	BEZ_AGMAOSW_2_C8FJUACXX.IND6
B100000834	BEZ_AGNAOSW_6_C8FCMACXX.IND9
B100000765	BEZ_AGPAOSW_7_C8FCMACXX.IND10
B100000811	BEZ_AGRAOSW_7_C8FCMACXX.IND11
B100000813	BEZ_AGSAOSW_3_C8FJUACXX.IND8
B100000562	BEZ_AGTAOSW_8_C8FCMACXX.IND7
B100000801	BEZ_AHAAOSW_2_C8FJUACXX.IND7
B100000865	BEZ_AHBAOSW_2_C8FJUACXX.IND9
B100000872	BEZ_AHCAOSW_4_C8FJUACXX.IND10
B100001064	BEZ_AHDAOSW_1_C8FJUACXX.IND12
B100001061	BEZ_AHEAOSW_1_C8FJUACXX.IND1
B100000986	BEZ_AHFAOSW_6_C8FJUACXX.IND7
B100000987	BEZ_AHGAOSW_7_C8FJUACXX.IND8
B100000994	BEZ_AHHAOSW_6_C8FJUACXX.IND9
B100001000	BEZ_AHIAOSW_7_C8FJUACXX.IND10
B100000973	BEZ_AHKAOSW_6_C8FJUACXX.IND11
B100001031	BEZ_AHLAOSW_7_C8FJUACXX.IND12
B100001033	BEZ_AHMAOSW_8_C8FJUACXX.IND1
B100001010	BEZ_AHNAOSW_8_C8FJUACXX.IND2
B100000918	BEZ_AHSAOSW_8_C8FJUACXX.IND5
B100001076	BEZ_AIBAOSW_8_C8FJUACXX.IND9
B100001089	BEZ_AIVAOSW_8_C8FCMACXX.IND3
B100001261	BEZ_AKBAOSW_2_C8FJUACXX.IND4
B100001275	BEZ_AKCAOSW_1_C8FJUACXX.IND5
B100001263	BEZ_AKDAOSW_8_C8FCMACXX.IND1
B100002010	BEZ_AKHAOSW_8_C8FCMACXX.IND5
B100002017	BEZ_AKIAOSW_1_C8FJUACXX.IND8
A200000327	BEZ_ADHAOSW_2_C8C37ACXX.IND5
A200000369	BEZ_ADIAOSW_3_C8C37ACXX.IND11
A100000165	BEZ_ADKAOSW_4_C8C37ACXX.IND12
A100000220	BEZ_ADLAOSW_7_C8C37ACXX.IND1
S200002603	BEZ_ADQAOSW_6_C8C37ACXX.IND5
E500000176	BEZ_ADVAOSW_8_C8C37ACXX.IND9
A100001401	BEZ_ADXAOSW_5_C8C37ACXX.IND10
A100001026	BEZ_AEAAOSW_5_C8C37ACXX.IND11
A100001195	BEZ_AECAOSW_8_C8C37ACXX.IND1
B100000110	BEZ_AEIAOSW_1_C8C37ACXX.IND6
B100000112	BEZ_AEKAOSW_3_C8C37ACXX.IND6
B100000114	BEZ_AELAOSW_6_C8C37ACXX.IND6
B100000120	BEZ_AEPAOSW_7_C8C37ACXX.IND9
B100000127	BEZ_AEQAOSW_6_C8C37ACXX.IND10
B100000133	BEZ_AERAOSW_6_C8C37ACXX.IND11
B100000143	BEZ_AESAOSW_8_C8C37ACXX.IND12
B100000267	BEZ_AETAOSW_5_C8C37ACXX.IND1
B100000473	BEZ_AFVAOSW_2_C8C37ACXX.IND12
B100000480	BEZ_AFXAOSW_8_C8C37ACXX.IND4
B100000526	BEZ_AGIAOSW_1_C8C37ACXX.IND7
B100000713	BEZ_AGLAOSW_2_C8C37ACXX.IND8
B100000851	BEZ_AGVAOSW_2_C8C37ACXX.IND10
B100000858	BEZ_AGXAOSW_3_C8C37ACXX.IND1
B100001228	BEZ_AIGAOSW_4_C8C37ACXX.IND2
B100000603	BEZ_AIIAOSW_4_C8C37ACXX.IND9
B100000611	BEZ_AIKAOSW_1_C8C37ACXX.IND3
B100001776	BEZ_ALBAOSW_1_C8C37ACXX.IND11
B100001297	BEZ_ALDAOSW_3_C8C37ACXX.IND4
R110000737	BNA_ABMOSW_1_C7T48ACXX.IND31
R110000765	BNA_ABNOSW_2_C7T48ACXX.IND34
R110000764	BNA_ABPOSW_3_C7T48ACXX.IND33
R110002167	BNA_ABQOSW_4_C7T48ACXX.IND1
R110002153	BNA_ABROSW_5_C7T48ACXX.IND35
R110001632	BNA_ABSOSW_6_C7T48ACXX.IND2
R110001599	BNA_ABTOSW_7_C7T48ACXX.IND4
R110001606	BNA_ABVOSW_8_C7T48ACXX.IND3
R110001583	BNA_ABXOSW_1_C7RD6ACXX.IND6
R110001592	BNA_ACAOSW_2_C7RD6ACXX.IND5
R110002124	BNA_AASOSW_1_C7T1BACXX.IND19
R110000868	BNA_AATOSW_2_C7T1BACXX.IND41b
R110002126	BNA_AAVOSW_3_C7T1BACXX.IND29
R110000851	BNA_AAXOSW_4_C7T1BACXX.IND15
R110000850	BNA_ABAOSW_5_C7T1BACXX.IND20
R110000823	BNA_ABBOSW_6_C7T1BACXX.IND43
R110000824	BNA_ABCOSW_7_C7T1BACXX.IND30
R110000822	BNA_ABDOSW_8_C7T1BACXX.IND42
R110000803	BNA_ABEOSW_1_C7RRDACXX.IND44
R110000796	BNA_ABFOSW_2_C7RRDACXX.IND45
R110000787	BNA_ABGOSW_3_C7RRDACXX.IND47
R110000782	BNA_ABHOSW_4_C7RRDACXX.IND46
R110000772	BNA_ABIOSW_5_C7RRDACXX.IND48
R110000744	BNA_ABKOSW_6_C7RRDACXX.IND10
R110000751	BNA_ABLOSW_7_C7RRDACXX.IND32
R110002012	BNA_AAAOSW_1_C7RNHACXX.IND11
R110002020	BNA_AABOSW_2_C7RNHACXX.IND16
R110002003	BNA_AACOSW_3_C7RNHACXX.IND31
R110002050	BNA_AADOSW_4_C7RNHACXX.IND7
R110002051	BNA_AAEOSW_5_C7RNHACXX.IND18
R110002049	BNA_AAFOSW_6_C7RNHACXX.IND17
R110002060	BNA_AAGOSW_7_C7RNHACXX.IND26
R110002033	BNA_AAHOSW_8_C7RNHACXX.IND8
R110002073	BNA_AAIOSW_1_C7T4MACXX.IND13
R110002074	BNA_AAKOSW_2_C7T4MACXX.IND14
R110002072	BNA_AALOSW_3_C7T4MACXX.IND32
R110002096	BNA_AAMOSW_4_C7T4MACXX.IND9
R110002095	BNA_AANOSW_5_C7T4MACXX.IND33
R110002094	BNA_AAPOSW_6_C7T4MACXX.IND15
R110002110	BNA_AAQOSW_7_C7T4MACXX.IND27
R110002111	BNA_AAROSW_8_C7T4MACXX.IND14
B100001741	BEZ_ACIAOSW_6_C7RH7ACXX.IND10
B100001750	BEZ_ACKAOSW_7_C7RH7ACXX.IND1
B100001758	BEZ_ACLAOSW_8_C7RH7ACXX.IND2
B100001765	BEZ_ACMAOSW_1_C7R7GACXX.IND5
B100001769	BEZ_ACNAOSW_2_C7R7GACXX.IND3
B100001564	BEZ_ACPAOSW_3_C7R7GACXX.IND4
B100001565	BEZ_ADAAOSW_8_C7R7GACXX.IND4
B100001135	BEZ_ADDAOSW_6_C7R7GACXX.IND2
X100000009	BEZ_ADGAOSW_7_C7R7GACXX.IND3
B100001287	BEZ_ACCAOSW_3_C7M7KACXX.IND9
B100001971	BEZ_ACDAOSW_4_C7M7KACXX.IND9
B100001996	BEZ_ACEAOSW_5_C7M7KACXX.IND10
B100002003	BEZ_ACFAOSW_6_C7M7KACXX.IND6
B100001989	BEZ_ACGAOSW_7_C7M7KACXX.IND11
B100001158	BEZ_ACHAOSW_8_C7M7KACXX.IND12
B100000953	BEZ_ABEAOSW_1_C7M9EACXX.IND9
B100000900	BEZ_ABFAOSW_2_C7M9EACXX.IND1
B100000927	BEZ_ABGBOSW_4_C7M9EACXX.IND2
B100000925	BEZ_ABHBOSW_5_C7M9EACXX.IND11
B100000929	BEZ_ABIAOSW_7_C7M9EACXX.IND3
B100000579	BEZ_ABKAOSW_8_C7M9EACXX.IND4
B100000575	BEZ_ABLAOSW_1_C7RA2ACXX.IND5
B100000700	BEZ_ABNAOSW_2_C7RA2ACXX.IND1
B100000678	BEZ_ABPAOSW_3_C7RA2ACXX.IND4
B100000686	BEZ_ABRAOSW_4_C7RA2ACXX.IND10
B100000676	BEZ_ABTAOSW_5_C7RA2ACXX.IND7
B100001123	BEZ_ACAAOSW_6_C7RA2ACXX.IND8
B100001964	BEZ_ACBBOSW_8_C7RA2ACXX.IND4
B100000248	BEZ_AAKAOSW_3_C7L56ACXX.IND12
