old_name	read_filename	metaG_T	mapping_id	PANGAEA_ID
TARA_127_DCM_0.22-3_T	BEZ_AIHAOSW_7_C8P5JACXX.IND2_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIHAOSW_7_C8P5JACXX.IND2	TARA_B100001230
TARA_127_DCM_0.22-3_T	BEZ_AIHAOSW_8_C8P5JACXX.IND2_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIHAOSW_8_C8P5JACXX.IND2	TARA_B100001230
TARA_128_SRF_0.22-3_T	BEZ_AIIAOSW_2_C8JE3ACXX.IND9_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIIAOSW_2_C8JE3ACXX.IND9	TARA_B100000603
TARA_128_SRF_0.22-3_T	BEZ_AIIAOSW_4_C8C37ACXX.IND9_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIIAOSW_4_C8C37ACXX.IND9	TARA_B100000603
TARA_128_DCM_0.22-3_T	BEZ_AIKAOSW_1_C8C37ACXX.IND3_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIKAOSW_1_C8C37ACXX.IND3	TARA_B100000611
TARA_128_DCM_0.22-3_T	BEZ_AIKAOSW_3_C8JE3ACXX.IND3_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIKAOSW_3_C8JE3ACXX.IND3	TARA_B100000611
TARA_129_SRF_0.22-3_T	BEZ_AILAOSW_2_C8FB9ACXX.IND3_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AILAOSW_2_C8FB9ACXX.IND3	TARA_B100000622
TARA_129_SRF_0.22-3_T	BEZ_AILAOSW_5_C8P5JACXX.IND3_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AILAOSW_5_C8P5JACXX.IND3	TARA_B100000622
TARA_129_SRF_0.22-3_T	BEZ_AILAOSW_6_C8P5JACXX.IND3_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AILAOSW_6_C8P5JACXX.IND3	TARA_B100000622
TARA_129_SRF_0.22-3_T	BEZ_AILAOSW_7_C8P5JACXX.IND3_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AILAOSW_7_C8P5JACXX.IND3	TARA_B100000622
TARA_129_SRF_0.22-3_T	BEZ_AILAOSW_8_C8P5JACXX.IND3_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AILAOSW_8_C8P5JACXX.IND3	TARA_B100000622
