sample	PANGAEA_ID	metaG_metaT	total_inserts	mapped_inserts	fraction_mapped_inserts	total_bases	mapped_bases	fraction_mapped_bases	db_average_entry_length
TARA_163_SRF_0.22-3_G	TARA_B110001469	metaG	157961636	117537450.998803	0.744088589958659	28721790390	18690542643.2366	0.650744343909149	631.414925731725
TARA_168_DCM_0.22-3_G	TARA_B110000046	metaG	161906690	111507642.998601	0.688715475553242	28548218501	17416948898.901	0.610088818617207	631.414925731725
TARA_168_IZZ_0.22-3_G	TARA_B110000037	metaG	157362560	117271195.998378	0.745229335353834	28785683672	18308428907.6432	0.636025501991182	631.414925731725
TARA_168_SRF_0.22-3_G	TARA_B110000027	metaG	137701856	98366547.9990826	0.71434438762454	25580480932	15482545347.5336	0.605248407513936	631.414925731725
TARA_173_DCM_0.22-3_G	TARA_B110000093	metaG	129378941	102057946.998982	0.788829667410723	23368348541	15923129580.8256	0.681397299123998	631.414925731725
TARA_173_IZZ_0.22-3_G	TARA_B110000091	metaG	153493980	123998869.998123	0.807841910139558	27661045535	19410611051.301	0.701730924333298	631.414925731725
TARA_173_SRF_0.22-3_G	TARA_B110000090	metaG	163770685	136548986.998258	0.833781619697429	29319265608	21273753322.8286	0.725589569918283	631.414925731725
TARA_175_SRF_0.22-3_G	TARA_B110000114	metaG	168165350	142280477.998614	0.846074878080494	30344152377	22168845921.0163	0.730580496880832	631.414925731725
TARA_175_ZZZ_0.22-3_G	TARA_B110000116	metaG	156937598	102625591.999022	0.653926103794594	28022345698	15672846672.8273	0.559298170172309	631.414925731725
TARA_178_SRF_0.22-3_G	TARA_B110000208	metaG	163493174	127177531.998266	0.777876708163154	29741142214	20203940737.8928	0.679326321515056	631.414925731725
TARA_180_SRF_0.22-3_G	TARA_B110000503	metaG	146489238	108032538.99922	0.737477650059316	26284582182	16870915057.7961	0.641855934440134	631.414925731725
TARA_180_ZZZ_0.22-3_G	TARA_B110000211	metaG	181991943	138193959.997801	0.759341087961243	30670587221	20408225316.8293	0.665400540582277	631.414925731725
TARA_188_DCM_0.22-3_G	TARA_B110000240	metaG	161492451	130506668.997647	0.808128604089653	28600116587	19964237530.6245	0.698047417740218	631.414925731725
TARA_188_SRF_0.22-3_G	TARA_B110000238	metaG	195706127	162643045.000557	0.831057501845905	35045780694	25244402109.1117	0.720326430434853	631.414925731725
TARA_189_DCM_0.22-3_G	TARA_B110000261	metaG	136675081	101616211.998999	0.743487483274286	24564902791	15701257894.226	0.639174436300989	631.414925731725
TARA_189_MES_0.22-3_G	TARA_B110000263	metaG	155280585	98298701.9991272	0.633039230236847	27030810068	14671572535.9847	0.542772210639494	631.414925731725
TARA_189_SRF_0.22-3_G	TARA_B110000259	metaG	158573757	123579267.99801	0.77931727377822	28222193066	18986051617.7966	0.672734807440232	631.414925731725
TARA_191_SRF_0.22-3_G	TARA_B110000285	metaG	163672335	98796520.9987418	0.603623825607069	29237735699	15018958975.039	0.51368406670263	631.414925731725
TARA_193_SRF_0.22-3_G	TARA_B110000977	metaG	155776363	116110031.998142	0.745363608201215	27738040899	17857231617.7313	0.643781285158285	631.414925731725
TARA_194_DCM_0.22-3_G	TARA_B110000967	metaG	188209598	143679315.998913	0.763400578534328	32530589917	21432180343.3807	0.658831591989684	631.414925731725
TARA_194_SRF_0.22-3_G	TARA_B110000971	metaG	202195745	140797307.998433	0.696341597091635	35980789172	21683488024.8728	0.602640701437052	631.414925731725
TARA_196_SRF_0.22-3_G	TARA_B110000305	metaG	175324256	126519954.997916	0.7216340618489	31682890517	19648144618.643	0.620150002036602	631.414925731725
TARA_201_DCM_0.22-3_G	TARA_B110000908	metaG	190598585	154711064.00019	0.81171150352554	32934066051	23623373887.4609	0.717292965007084	631.414925731725
TARA_201_MES_0.22-3_G	TARA_B110000914	metaG	156919679	99313053.9989853	0.632891009157528	27660875838	15031128747.2771	0.543407549179176	631.414925731725
TARA_201_SRF_0.22-3_G	TARA_B110000902	metaG	229109625	186452842.003491	0.813814967413486	39366283220	27958711858.9976	0.710219750814403	631.414925731725
TARA_205_MES_0.22-3_G	TARA_B110000881	metaG	170575390	109870321.998444	0.644115906746241	29960288306	16594429729.0998	0.553880842521014	631.414925731725
TARA_205_SRF_0.22-3_G	TARA_B110000879	metaG	188490064	161925403.000477	0.859065987693001	34311489660	25861416849.3636	0.753724688307911	631.414925731725
TARA_206_MES_0.22-3_G	TARA_B110000495	metaG	187568930	121346484.998122	0.646943419670423	33544536787	18713144444.3043	0.557859676618236	631.414925731725
TARA_206_SRF_0.22-3_G	TARA_B110000483	metaG	171369163	127538042.997476	0.74422982971257	31233870291	19779528468.7853	0.633271774663312	631.414925731725
TARA_208_SRF_0.22-3_G	TARA_B110000858	metaG	165402309	133783529.996838	0.808837136589416	29547694608	20399456956.7542	0.69039081482963	631.414925731725
TARA_209_MES_0.22-3_G	TARA_B110000467	metaG	157037369	104712024.99884	0.666796862846323	28648908676	16174224719.1979	0.564566870665739	631.414925731725
TARA_209_SRF_0.22-3_G	TARA_B110000459	metaG	144783347	111364948.998385	0.769183413050845	25796566310	17125098400.9075	0.66385185513116	631.414925731725
TARA_210_MES_0.22-3_G	TARA_B110000438	metaG	157715830	101419891.998992	0.643054612837479	28741162891	15555471345.6249	0.541226233768568	631.414925731725
TARA_210_SRF_0.22-3_G	TARA_B110000444	metaG	154053145	110671828.998329	0.718400322163683	27537038267	16892223167.2734	0.613436456146294	631.414925731725
TARA_011_SRF_0.22-1.6_T	TARA_X100000009	metaT	153522966	94863737.9986157	0.617912358458576	26068468638	13420653467.1245	0.514823239273874	631.414925731725
TARA_015_SRF_0.22-1.6_T	TARA_A200000327	metaT	147772577	96748667.9989727	0.654713276056441	24976968277	13822442938.7355	0.553407554729687	631.414925731725
TARA_016_SRF_0.22-1.6_T	TARA_A200000369	metaT	142120698	80847182.9996552	0.568862833755962	22331339404	10882723867.6311	0.487329652321785	631.414925731725
TARA_018_SRF_0.22-1.6_T	TARA_A100000165	metaT	42242135	4982594.99999784	0.117953200045354	6696311905	649579740.886485	0.0970055980220182	631.414925731725
TARA_019_SRF_0.22-1.6_T	TARA_A100000220	metaT	140049964	67861771.0007799	0.484554005317559	23292135222	8933516018.91464	0.383542167077783	631.414925731725
TARA_022_DCM_0.22-1.6_T	TARA_S200002603	metaT	165191142	100977643.99877	0.61127759501033	27791792449	14134899691.6825	0.508599785984337	631.414925731725
TARA_025_DCM_0.22-1.6_T	TARA_E500000176	metaT	137861480	80699867.9997372	0.585369227138264	23295672607	11107964060.2783	0.476825213320545	631.414925731725
TARA_031_SRF_0.22-1.6_T	TARA_A100001401	metaT	144377935	92252694.9983659	0.63896671605925	24508577656	12352687599.0462	0.504014870729232	631.414925731725
TARA_032_SRF_0.22-1.6_T	TARA_A100001026	metaT	112613466	71072924.0005743	0.631122782426164	18756639135	9470427894.24668	0.504910705275275	631.414925731725
TARA_033_SRF_0.22-1.6_T	TARA_A100001195	metaT	130366958	75124453.9999287	0.576253792774153	21826362140	9836530620.71961	0.450672015685689	631.414925731725
TARA_037_MES_0.22-1.6_T	TARA_B100000315	metaT	213874792	88898495.9988792	0.415656726852032	36134032046	12737415079.0923	0.352504671022517	631.414925731725
TARA_038_MES_0.22-1.6_T	TARA_B100000071	metaT	200289239	141851649.998707	0.70823400551593	33470511233	20691932906.7467	0.618213828964334	631.414925731725
TARA_039_DCM_0.22-1.6_T	TARA_B100000091	metaT	185713252	132466668.994959	0.713286034078813	31967688872	18699610461.5862	0.584953467748644	631.414925731725
TARA_039_MES_0.22-1.6_T	TARA_B100000101	metaT	156897823	118226405.998849	0.753524833794854	27073824093	18016184621.865	0.665446615889151	631.414925731725
TARA_039_SRF_0.22-1.6_T	TARA_B100000089	metaT	179492187	118113034.996429	0.658039979179866	30741680833	16458841322.2129	0.535391718222023	631.414925731725
TARA_040_MES_0.22-1.6_T	TARA_B100000120	metaT	117709604	61876632.0003046	0.525671906944013	18208583943	8022418937.24332	0.440584449749449	631.414925731725
TARA_040_SRF_0.22-1.6_T	TARA_B100000110	metaT	124482652	62813906.00062	0.504599677074843	20242739639	8551287925.6179	0.422437282606888	631.414925731725
TARA_040_ZZZ_0.22-1.6_T	TARA_B100000112,TARA_B100000114,TARA_B100000116,TARA_B100000118	metaT	558154375	303200388.001881	0.543219585086797	93661247071	40491527135.1171	0.432318898171647	631.414925731725
TARA_041_DCM_0.22-1.6_T	TARA_B100000287	metaT	188728844	130076399.996087	0.689223741528811	31949576625	18430171937.6282	0.576851836064925	631.414925731725
TARA_041_SRF_0.22-1.6_T	TARA_B100000282	metaT	196814518	135254964.995206	0.687220467116182	34158383351	18820109245.7342	0.550966041113397	631.414925731725
TARA_042_DCM_0.22-1.6_T	TARA_B100000133	metaT	153841210	102044056.998675	0.663307685883871	25788833894	13205707346.9979	0.512070743534873	631.414925731725
TARA_042_SRF_0.22-1.6_T	TARA_B100000127	metaT	126738283	72826940.0002333	0.574624638083769	21587575109	9680373234.99298	0.448423372524002	631.414925731725
TARA_043_SRF_0.22-1.6_T	TARA_B100000143	metaT	127523651	71761646.0002589	0.562732053525184	22184852577	9514238487.88369	0.428861920757027	631.414925731725
TARA_044_SRF_0.22-1.6_T	TARA_B100000267	metaT	171922121	98485606.9984759	0.572850116236502	29262009610	12404979111.1329	0.423927791579073	631.414925731725
TARA_046_SRF_0.22-1.6_T	TARA_B100000261	metaT	138982947	78338619.9998297	0.563656345550291	23928195761	10472569598.1399	0.437666496159684	631.414925731725
TARA_047_SRF_0.22-1.6_T	TARA_B100000248	metaT	176367092	116649225.994977	0.661400177732573	29602515677	15657486235.0119	0.528924176777892	631.414925731725
TARA_049_SRF_0.22-1.6_T	TARA_B100000236	metaT	135805415	63023066.001384	0.46406887384707	21260820837	7352689718.15461	0.345832824354495	631.414925731725
TARA_050_SRF_0.22-1.6_T	TARA_B100000178	metaT	147005151	84603733.9993478	0.575515438906952	25813204890	11478820390.8734	0.444687919992464	631.414925731725
