Representative 1	Representative 2	Co-expression Pearson r	Representative 2 type	Representative 2 annotation
OM-RGC.v2.040027140	OM-RGC.v2.000473898	0.972972239850802	GC	NA
OM-RGC.v2.038888565	OM-RGC.v2.038891289	0.972955185421163	GC	NA
OM-RGC.v2.034256547	OM-RGC.v2.008509389	0.972810606648604	GC	NA
OM-RGC.v2.030190005	OM-RGC.v2.013507469	0.972679048211856	GC	NA
OM-RGC.v2.015810226	OM-RGC.v2.013171847	0.97267456368983	GC	NA
OM-RGC.v2.013171847	OM-RGC.v2.015810226	0.97267456368983	GC	NA
OM-RGC.v2.000761309	OM-RGC.v2.034406305	0.972607118205892	GC	NA
OM-RGC.v2.000877773	OM-RGC.v2.030634212	0.972592682841465	GC	NA
OM-RGC.v2.030634212	OM-RGC.v2.000877773	0.972592682841465	GC	NA
OM-RGC.v2.001090085	OM-RGC.v2.035225356	0.972498392725963	GC	NA
OM-RGC.v2.004289683	OM-RGC.v2.002634773	0.972488437741466	GC	NA
OM-RGC.v2.002634773	OM-RGC.v2.004289683	0.972488437741466	GC	NA
OM-RGC.v2.022517916	OM-RGC.v2.009254987	0.972356161909382	GC	NA
OM-RGC.v2.037101540	OM-RGC.v2.006246894	0.972298312232378	GC	NA
OM-RGC.v2.033097047	OM-RGC.v2.033609510	0.972112009347963	GC	NA
OM-RGC.v2.000826588	OM-RGC.v2.022512191	0.972079965342694	GC	NA
OM-RGC.v2.022512191	OM-RGC.v2.000826588	0.972079965342694	GC	NA
OM-RGC.v2.003500223	OM-RGC.v2.000552439	0.972008147975741	GC	NA
OM-RGC.v2.000552439	OM-RGC.v2.003500223	0.972008147975741	GC	NA
OM-RGC.v2.016717350	OM-RGC.v2.022761374	0.971801805066309	GC	NA
OM-RGC.v2.022761374	OM-RGC.v2.016717350	0.971801805066309	GC	NA
OM-RGC.v2.007737408	OM-RGC.v2.011188565	0.971792676332912	GC	NA
OM-RGC.v2.011188565	OM-RGC.v2.007737408	0.971792676332912	GC	NA
OM-RGC.v2.003991868	OM-RGC.v2.001205736	0.971749006601051	GC	NA
OM-RGC.v2.014360253	OM-RGC.v2.024720043	0.97166641420378	GC	NA
OM-RGC.v2.042907250	OM-RGC.v2.035002680	0.971666153866269	GC	NA
OM-RGC.v2.030781267	OM-RGC.v2.014800124	0.9716565989982	GC	NA
OM-RGC.v2.030125249	OM-RGC.v2.015961871	0.971544032624353	GC	NA
OM-RGC.v2.000945584	OM-RGC.v2.020282319	0.971268020806029	GC	NA
OM-RGC.v2.019800702	OM-RGC.v2.007681748	0.971244047112629	GC	NA
OM-RGC.v2.040267512	OM-RGC.v2.012052665	0.971166950182094	GC	NA
